"","h_Fstate","","","",""
"","1","2","3","4","Total"
"","b","b","b","b","b"
"1","0.9497","0.0430","0.0014","0.0058","1.0000"
"2","0.0000","0.5395","0.4582","0.0023","1.0000"
"3","0.1369","0.0872","0.7721","0.0038","1.0000"
"4","0.0560","0.0129","0.0505","0.8806","1.0000"
"Total","0.3306","0.1529","0.4971","0.0194","1.0000"
