"","h_Fstate","","","",""
"","1","2","3","4","Total"
"","b","b","b","b","b"
"1","0.9605","0.0329","0.0008","0.0057","1.0000"
"2","0.0000","0.5547","0.4404","0.0049","1.0000"
"3","0.1462","0.0650","0.7819","0.0068","1.0000"
"4","0.0145","0.0202","0.0209","0.9444","1.0000"
"Total","0.3997","0.1203","0.4400","0.0400","1.0000"
