"","h_Fstate","","","",""
"","1","2","3","4","Total"
"","b","b","b","b","b"
"1","0.9686","0.0206","0.0000","0.0108","1.0000"
"2","0.0000","0.5241","0.4759","0.0000","1.0000"
"3","0.1735","0.0471","0.7712","0.0082","1.0000"
"4","0.0011","0.0236","0.0348","0.9404","1.0000"
"Total","0.4575","0.0781","0.4101","0.0542","1.0000"
