"","h_Fstate","","","",""
"","1","2","3","4","Total"
"","b","b","b","b","b"
"1","0.9685","0.0199","0.0116","0.0000","1.0000"
"2","0.0000","0.4230","0.5770","0.0000","1.0000"
"3","0.1513","0.0427","0.8039","0.0021","1.0000"
"4","0.0000","0.3678","0.1212","0.5109","1.0000"
"Total","0.3378","0.0720","0.5874","0.0027","1.0000"
