"","h_Fstate","","","",""
"","1","2","3","4","Total"
"","b","b","b","b","b"
"1","0.9846","0.0103","0.0015","0.0036","1.0000"
"2","0.0000","0.4197","0.5803","0.0000","1.0000"
"3","0.1752","0.0276","0.7954","0.0018","1.0000"
"4","0.0000","0.0000","0.0087","0.9913","1.0000"
"Total","0.3972","0.0441","0.5444","0.0143","1.0000"
