"","h_Fstate","","","",""
"","1","2","3","4","Total"
"","b","b","b","b","b"
"1","0.9877","0.0123","0.0000","0.0000","1.0000"
"2","0.0000","0.2639","0.7361","0.0000","1.0000"
"3","0.1860","0.0149","0.7932","0.0059","1.0000"
"4","0.0000","0.0000","0.0000","1.0000","1.0000"
"Total","0.4835","0.0228","0.4799","0.0137","1.0000"
