"","h_Fstate","","","","",""
"","0","1","2","3","4","Total"
"","b/t","b/t","b/t","b/t","b/t","b/t"
"0","1.0000","0.0000","0.0000","0.0000","0.0000","1.0000"
"",".",".",".",".",".","."
"1","0.0000","0.9557","0.0316","0.0100","0.0026","1.0000"
"",".","350.7062","13.7099","7.6686","3.5811","."
"2","0.0000","0.0000","0.4055","0.5870","0.0075","1.0000"
"",".",".","24.4677","35.2609","2.3837","."
"3","0.0000","0.1409","0.0369","0.8193","0.0029","1.0000"
"",".","28.8800","14.2813","152.4585","3.7608","."
"4","0.0000","0.0743","0.0347","0.1020","0.7891","1.0000"
"",".","2.7790","2.2763","3.7033","20.9731","."
"Total","0.0000","0.5292","0.0582","0.4019","0.0108","1.0000"
"","0.9999","114.6530","28.2698","88.7087","12.0918","."
"N","30695","","","","",""
