"","h_Fstate","","","",""
"","1","2","3","4","Total"
"","b/t","b/t","b/t","b/t","b/t"
"1","0.9694","0.0237","0.0034","0.0035","1.0000"
"","435.6335","11.9386","4.5645","4.9050","."
"2","0.0000","0.4832","0.5139","0.0028","1.0000"
"",".","24.2712","25.7974","1.3498","."
"3","0.1259","0.0426","0.8234","0.0081","1.0000"
"","17.9496","10.4308","103.5204","4.6679","."
"4","0.0272","0.0058","0.0276","0.9394","1.0000"
"","2.7882","1.4930","2.9985","68.4602","."
"Total","0.6669","0.0566","0.2428","0.0337","1.0000"
"","134.8729","24.5250","53.9065","18.5065","."
"N","16186","","","",""
